Tissue,Sex,CS_avg_expression
AD,Female,0.22464801580877344
AD,Male,0.24093989222692475
BAT,Female,0.9555057034415946
BAT,Male,0.9226654948850189
CB,Female,0.21993519225185082
CB,Male,0.21162993285382795
Cor,Female,0.20709698805861992
Cor,Male,0.18949199667995198
DP,Female,0.3508329671515684
DP,Male,0.4119660491685746
GUT,Female,0.4815431541997836
GUT,Male,0.5370948552104453
Gas,Female,0.2898849032894686
Gas,Male,0.2694635244416692
H,Female,0.5466464174574908
H,Male,0.6563390560476524
HC,Female,0.1981030499728897
HC,Male,0.22018445282165536
KD,Female,0.2078499091612253
KD,Male,0.22825330013285333
LUN,Female,0.11480633481604827
LUN,Male,0.0983731250851212
LV,Female,0.06983664438739719
LV,Male,0.07524842541841084
MB,Female,0.20578901249129516
MB,Male,0.22454522794493653
ME,Female,0.23929528640553407
ME,Male,0.24470449773995182
OB,Female,0.24056985591711183
OB,Male,0.232398220742077
OV,Female,0.2739604934845343
PA,Female,0.14310136682161936
PA,Male,0.05
Ps,Female,0.22748496085067232
Ps,Male,0.2188584893781591
SK,Female,0.26121222867216065
SK,Male,0.24265387985640535
SP,Female,0.0979350175124823
SP,Male,0.09555930731258559
SQ,Female,0.5026557814318864
SQ,Male,0.5428946604274433
Str,Female,0.21558726561154923
Str,Male,0.2064468548198514
TE,Male,0.05081071357904773
TH,Female,0.22155410110728227
TH,Male,0.22750808812003567
UT,Female,0.10649724657009747
VF,Female,0.4129348247852375
VF,Male,0.2978304051640623
