Tissue,Male_n,Female_n,Glycolysis_Male,Glycolysis_Female,Glycolysis_Diff,Oxidative_PPP_Male,Oxidative_PPP_Female,Oxidative_PPP_Diff,Non_oxidative_PPP_Male,Non_oxidative_PPP_Female,Non_oxidative_PPP_Diff,TCA_Cycle_Male,TCA_Cycle_Female,TCA_Cycle_Diff,Pyruvate_Dehydrogenase_Male,Pyruvate_Dehydrogenase_Female,Pyruvate_Dehydrogenase_Diff,Fatty_Acid_Oxidation_Male,Fatty_Acid_Oxidation_Female,Fatty_Acid_Oxidation_Diff,Fatty_Acid_Synthesis_Male,Fatty_Acid_Synthesis_Female,Fatty_Acid_Synthesis_Diff,Malic_Enzyme_Male,Malic_Enzyme_Female,Malic_Enzyme_Diff,IDH_NADPH_Male,IDH_NADPH_Female,IDH_NADPH_Diff,Lactate_Dehydrogenase_Male,Lactate_Dehydrogenase_Female,Lactate_Dehydrogenase_Diff,Glutaminolysis_Male,Glutaminolysis_Female,Glutaminolysis_Diff,Alanine_catabolism_Male,Alanine_catabolism_Female,Alanine_catabolism_Diff,Aspartate_catabolism_Male,Aspartate_catabolism_Female,Aspartate_catabolism_Diff,Leucine_catabolism_Male,Leucine_catabolism_Female,Leucine_catabolism_Diff,Isoleucine_catabolism_Male,Isoleucine_catabolism_Female,Isoleucine_catabolism_Diff,Valine_catabolism_Male,Valine_catabolism_Female,Valine_catabolism_Diff,Serine_catabolism_Male,Serine_catabolism_Female,Serine_catabolism_Diff,Glycine_catabolism_Male,Glycine_catabolism_Female,Glycine_catabolism_Diff,Threonine_catabolism_Male,Threonine_catabolism_Female,Threonine_catabolism_Diff,Methionine_catabolism_Male,Methionine_catabolism_Female,Methionine_catabolism_Diff,Proline_catabolism_Male,Proline_catabolism_Female,Proline_catabolism_Diff,Arginine_catabolism_Male,Arginine_catabolism_Female,Arginine_catabolism_Diff,Histidine_catabolism_Male,Histidine_catabolism_Female,Histidine_catabolism_Diff,Lysine_catabolism_Male,Lysine_catabolism_Female,Lysine_catabolism_Diff,Phenylalanine_catabolism_Male,Phenylalanine_catabolism_Female,Phenylalanine_catabolism_Diff,Tyrosine_catabolism_Male,Tyrosine_catabolism_Female,Tyrosine_catabolism_Diff,Tryptophan_catabolism_Male,Tryptophan_catabolism_Female,Tryptophan_catabolism_Diff,Cysteine_catabolism_Male,Cysteine_catabolism_Female,Cysteine_catabolism_Diff,Asparagine_catabolism_Male,Asparagine_catabolism_Female,Asparagine_catabolism_Diff
LV,5,5,0.27370468483381855,0.2564985158214491,0.017206169012369432,0.11662463568144306,0.10427133894694593,0.01235329673449713,0.06951016160124061,0.07443353190097968,-0.004923370299739063,0.3276630201878729,0.33367111157113705,-0.006008091383264136,0.10190946489014818,0.11392494450638076,-0.012015479616232574,0.4751459746268285,0.5182617477215598,-0.04311577309473125,0.05429201456397814,0.051945060446438415,0.0023469541175397263,0.05,0.05,0.0,0.33091518117480206,0.37605142966442884,-0.045136248489626773,0.4863298189902231,0.6054510452040232,-0.11912122621380006,0.8702732044244319,0.7464058717300333,0.12386733269439865,0.9517745941941221,0.7142340756420306,0.23754051855209157,0.8332770347638896,0.7150586268492649,0.11821840791462468,0.33955089616574025,0.2998485919605346,0.03970230420520565,0.15381272688843176,0.166172694550837,-0.012359967662405241,0.25918163214535006,0.25602174842826236,0.003159883717087697,0.864830542687514,0.6148071838483639,0.25002335883915017,0.7366657730067953,0.6903611405717491,0.04630463243504612,0.19659892506373677,0.1453190746062237,0.05127985045751307,0.9461914802479553,0.6846329666806061,0.26155851356734916,0.8112010377696143,0.7772528778507575,0.0339481599188568,0.9134776434021245,0.8103477891282223,0.1031298542739022,0.9153883576864675,0.7791695222554643,0.13621883543100322,0.4745232403536027,0.399058531728972,0.07546470862463073,0.9417352918281161,0.7133359182809159,0.2283993735472002,0.9363510680202625,0.6734821654732285,0.262868902547034,0.9020942063272231,0.8275757087104942,0.07451849761672891,0.5378267602304996,0.4578321370579107,0.07999462317258887,0.21980769639901201,0.18895100038646664,0.03085669601254537
BAT,5,5,0.6193766586977771,0.6368688855273714,-0.017492226829594282,0.7765188978524888,0.6355948688177033,0.14092402903478551,0.9092672451635095,0.9054082154270127,0.0038590297364968773,0.8717089784901979,0.9025411899549759,-0.030832211464777992,0.8190889701907895,0.957909491832635,-0.13882052164184544,0.8170957419182662,0.9132570195492453,-0.09616127763097915,0.7193206201355201,0.5936878630788007,0.1256327570567194,0.4688722874421914,0.4522284901153631,0.016643797326828302,0.2549836483151466,0.2392337801083269,0.015749868206819673,0.6645301078141013,0.653916841284149,0.010613266529952314,0.07654028817379774,0.06704430200718456,0.00949598616661318,0.12814584650053246,0.08349847252074598,0.04464737397978648,0.056480213438373096,0.05,0.006480213438373093,0.5215261305960586,0.47632194517181414,0.045204185424244425,0.4098279717888592,0.3942773093701736,0.015550662418685635,0.6171116872113658,0.5836760684045638,0.033435618806802014,0.16163385315247666,0.14343630021507583,0.01819755293740083,0.15931123499892894,0.16166300196750197,-0.0023517669685730325,0.09956442632015014,0.09755088708714402,0.002013539233006123,0.10032101111649219,0.09864719579173223,0.001673815324759964,0.16060820054897762,0.1198011015525688,0.04080709899640882,0.0578781968397817,0.05,0.0078781968397817,0.05,0.05,0.0,0.08736232328431351,0.07563314692782616,0.011729176356487347,0.05,0.05,0.0,0.05,0.05,0.0,0.05,0.05,0.0,0.19061997796256994,0.15504344614047025,0.03557653182209969,0.12937456719970183,0.10693730673865884,0.022437260461042996
Str,5,5,0.46409834136281497,0.45680857778022377,0.007289763582591202,0.10265606199334117,0.10361097945491086,-0.0009549174615696987,0.11088205028737788,0.11374294223952444,-0.0028608919521465603,0.2625398625251295,0.2768272431551234,-0.014287380629993907,0.2105766882061247,0.2367223295438305,-0.026145641337705777,0.11818945507240175,0.1158978100664892,0.002291645005912543,0.1179911500164917,0.12566935179497102,-0.007678201778479318,0.5350155003303348,0.36039538547542815,0.1746201148549067,0.07537170342102435,0.0900205737318696,-0.014648870310845247,0.5861246665001496,0.5403685491777914,0.04575611732235818,0.35332441646181867,0.4039330085503098,-0.05060859208849111,0.13617569415731046,0.13999236665500456,-0.0038166724976941013,0.4469761696153071,0.45794445925869487,-0.010968289643387752,0.3453360658981886,0.3759351326569085,-0.030599066758719873,0.2813600958462181,0.30768426243207314,-0.02632416658585507,0.2220988330851738,0.2505006382894134,-0.028401805204239572,0.0716035819949574,0.07302042046296095,-0.0014168384680035562,0.42868835834433094,0.4512382238395011,-0.02254986549517013,0.058883423311466065,0.06048606922498319,-0.0016026459135171228,0.15310641044056328,0.15577258325684826,-0.0026661728162849785,0.10029576344825739,0.08555112079604246,0.014744642652214923,0.07273434994832377,0.07598910362183266,-0.0032547536735088867,0.05,0.05,0.0,0.1713746890851821,0.18425300672811246,-0.012878317642930348,0.05,0.05,0.0,0.05,0.05,0.0,0.05,0.05,0.0,0.14934738344124773,0.1512655953442806,-0.0019182119030328737,0.5390890713364368,0.5522908556102808,-0.013201784273843997
KD,5,5,0.3365725564682628,0.35919753820469164,-0.02262498173642885,0.18763352830092717,0.13656669370163615,0.05106683459929101,0.15248954445856586,0.13569808809484574,0.01679145636372012,0.6268967308540928,0.612584665241235,0.014312065612857805,0.2543413229977207,0.3232505982615038,-0.0689092752637831,0.6398498245229154,0.5496718178818136,0.09017800664110176,0.05776647006011683,0.0541627031180123,0.0036037669421045276,0.6287035625349392,0.5457895004319765,0.0829140621029627,0.5032703011139715,0.662030967898447,-0.15876066678447542,0.9554366097162047,0.7725403648211868,0.18289624489501788,0.6364894323829421,0.597508603026177,0.03898082935676506,0.16996914856397694,0.15619732196813071,0.01377182659584622,0.44832077588970815,0.3712928823340814,0.07702789355562673,0.6895680527975807,0.553385512219254,0.13618254057832668,0.34145574670777545,0.3209176199585637,0.020538126749211738,0.44349992609346095,0.39174422837053735,0.0517556977229236,0.332037866711958,0.20321375803909927,0.12882410867285873,0.9070528121667282,0.838659278515322,0.06839353365140621,0.07669048190669761,0.05416826722227772,0.022522214684419888,0.41486300428357625,0.3025823412867432,0.11228066299683304,0.9244257897475473,0.7980748710298678,0.12635091871767945,0.09952890692910807,0.1338867000557194,-0.03435779312661133,0.06410892859065173,0.08013916462410717,-0.016030236033455436,0.7309582203170264,0.5308033903509113,0.2001548299661151,0.18074475314899402,0.1651958518558942,0.015548901293099826,0.12541171460772832,0.1059964581955791,0.019415256412149223,0.18892976757817542,0.19773899840284181,-0.008809230824666392,0.15046145430333013,0.13726042759410173,0.013201026709228403,0.18195352004301737,0.1356910237780138,0.04626249626500359
SQ,5,5,0.49435193927593035,0.3844449161933628,0.10990702308256756,0.6298865820162967,0.6360033090127464,-0.006116726996449717,0.6151325201201913,0.7072589071556457,-0.0921263870354544,0.4412246455793768,0.4197528984601534,0.021471747119223394,0.6618389987951918,0.6033857332222119,0.05845326557297992,0.3673441262509523,0.3642447122853953,0.0030994139655570185,0.6260147142985467,0.7165995613924178,-0.09058484709387105,0.6225704450693292,0.6964213536840723,-0.07385090861474308,0.30507438733665804,0.31638760724232673,-0.011313219905668692,0.8178728132020394,0.6750944211443768,0.14277839205766263,0.1297034361485817,0.1178701969337657,0.011833239214816008,0.39448490824083193,0.3037673738112655,0.09071753442956643,0.11148757006869489,0.09161017725461454,0.019877392814080352,0.6305013586272498,0.6340077755277215,-0.0035064169004717094,0.5536026280829335,0.5355448718621798,0.018057756220753673,0.6255666710636839,0.5935957848862998,0.031970886177384084,0.06323194120199398,0.07552918044939984,-0.012297239247405861,0.14571380909751958,0.21158811031864122,-0.06587430122112164,0.05516370366157215,0.05852071981190732,-0.0033570161503351653,0.10414432481380702,0.09913928878942121,0.005005036024385803,0.14299819909202557,0.12583728903631336,0.017160910055712214,0.07788680986985251,0.07326342118417152,0.00462338868568099,0.05,0.05,0.0,0.13014011470499948,0.1264432344726856,0.003696880232313876,0.05,0.05,0.0,0.05,0.05,0.0,0.05,0.05,0.0,0.22818289268058503,0.23719777272993992,-0.009014880049354884,0.21780124986666297,0.2087870851359212,0.009014164730741764
Ps,5,5,0.5517217006845228,0.5748846261337246,-0.023162925449201843,0.1082647141492515,0.10897356594226777,-0.0007088517930162741,0.11375103786399043,0.12126407666561889,-0.007513038801628458,0.3233966493931148,0.33048049819193964,-0.007083848798824843,0.2827829124063553,0.2665498469582474,0.016233065448107875,0.10806832537363964,0.11354475926811099,-0.005476433894471347,0.12562885841093657,0.12911350023173251,-0.0034846418207959418,0.5123494435127306,0.46894851857498604,0.043400924937744556,0.09197064627643439,0.10456680864563257,-0.01259616236919818,0.7278815194793735,0.7087780515779963,0.01910346790137718,0.48726632407081566,0.5156370715488675,-0.02837074747805185,0.12133837982252468,0.12614102604878974,-0.004802646226265056,0.5772215480226603,0.6162159808878029,-0.03899443286514259,0.42115080069868915,0.40414217456015133,0.01700862613853782,0.40839010525126646,0.43184820768878723,-0.023458102437520778,0.30359306388332663,0.3110872279133017,-0.007494164029975048,0.10919378334463097,0.0962882920416675,0.012905491302963465,0.4160480767106976,0.4303594883562825,-0.014311411645584915,0.08006131159764426,0.07058705611138391,0.009474255486260352,0.14936041793092744,0.13787066548579135,0.011489752445136087,0.07577534761777656,0.07330649971003682,0.0024688479077397407,0.06794463047337727,0.07074624268238339,-0.002801612209006113,0.05,0.05,0.0,0.17283484569831775,0.15689508284883164,0.015939762849486117,0.05,0.05,0.0,0.05,0.05,0.0,0.05,0.05,0.0,0.16986312623189417,0.17537565595043877,-0.005512529718544601,0.6677541600231393,0.7034849547685968,-0.035730794745457595
H,5,5,0.3145068889526512,0.2687799803322394,0.045726908620411844,0.0904522495639887,0.08110963431717202,0.009342615246816677,0.06099427739911127,0.05666449578723454,0.004329781611876735,0.6999880237021643,0.6170963544751074,0.08289166922705693,0.3739235022670634,0.39257069492743757,-0.01864719266037418,0.6846744684190911,0.5833784167602956,0.10129605165879552,0.21602566959794292,0.19240246494410382,0.023623204653839103,0.8671748742186309,0.7317172333180871,0.1354576409005438,0.9274828004391132,0.772847971400162,0.1546348290389512,0.9132337462704557,0.7501488089690489,0.16308493730140683,0.1538630059704332,0.13832576334480656,0.01553724262562664,0.05326866193823347,0.05,0.003268661938233469,0.9232317680414897,0.6852014606487071,0.23803030739278253,0.425970908693162,0.32717948497812194,0.09879142371504007,0.2650191866091115,0.21190297625439092,0.05311621035472058,0.29753817523845916,0.25220019810265154,0.04533797713580762,0.10597497009826055,0.08761255574165534,0.01836241435660521,0.12114986208869989,0.11219900476269537,0.008950857326004522,0.06666780926029017,0.06272588558510764,0.003941923675182535,0.09139254604329237,0.09043825044461881,0.000954295598673563,0.09391996565765252,0.07785339520588241,0.01606657045177011,0.08174092224741407,0.07390203951127382,0.007838882736140251,0.05,0.05,0.0,0.09967133967457417,0.0922306098513103,0.007440729823263867,0.05,0.05,0.0,0.05,0.05,0.0,0.05,0.05,0.0,0.21436892830406834,0.18486951974067134,0.029499408563397,0.21436892830406834,0.18486951974067134,0.029499408563397
MB,5,5,0.5500382253965778,0.5101940573572914,0.039844168039286365,0.11068872229027449,0.10143735290824887,0.009251369382025615,0.10395889486318406,0.10391944993330167,3.94449298823929e-05,0.3134422738780833,0.29786479430031915,0.015577479577764175,0.2553061576591302,0.2614005621444394,-0.006094404485309235,0.10670133916869436,0.10458734354346837,0.0021139956252259895,0.127339498818482,0.12502303429301387,0.0023164645254681315,0.39286984804594194,0.3632159373888296,0.029653910657112315,0.08819179756567494,0.08800985299811988,0.00018194456755506183,0.6418071808560211,0.5953154066678843,0.04649177418813677,0.42989342618782117,0.4564938712499826,-0.026600445062161415,0.12526637193473483,0.12032855189084313,0.004937820043891705,0.5240208536273447,0.5326599803000702,-0.008639126672725483,0.4477568562402109,0.3944395467153542,0.05331730952485669,0.3995454240691978,0.39843139195124927,0.0011140321179485269,0.2946590530435107,0.2875255158714967,0.007133537172013982,0.09772906175170121,0.09163709375398262,0.006091967997718592,0.42686977915243984,0.4129721206699727,0.013897658482467157,0.07071836433961179,0.0737106074077582,-0.0029922430681464107,0.1636683775835049,0.1491829908722267,0.014485386711278192,0.09022004539420583,0.08036473270812332,0.009855312686082515,0.07330190063848174,0.07261204382263105,0.0006898568158506951,0.05,0.05,0.0,0.18662642427853665,0.18040959024447828,0.006216834034058372,0.05,0.05,0.0,0.05,0.05,0.0,0.05,0.05,0.0,0.16181344736433173,0.1631423534431366,-0.00132890607880487,0.6528538113761775,0.6537900691962863,-0.0009362578201088656
ME,5,5,0.5915151953379231,0.544681498532982,0.046833696804941094,0.103483801533894,0.10011827229320722,0.003365529240686782,0.11886741889304822,0.11052410575291827,0.008343313140129954,0.3474820626009666,0.3418952832999948,0.005586779300971789,0.2755681408006094,0.2966280421200215,-0.0210599013194121,0.11670407601163824,0.11136886990437907,0.005335206107259169,0.1275619944050977,0.12903624140464506,-0.001474246999547374,0.5508715759516186,0.4806372922701631,0.07023428368145551,0.08685753740360432,0.0931929405507788,-0.006335403147174484,0.8921815332729397,0.7991308810609363,0.09305065221200337,0.4634278775542439,0.474178866691887,-0.010750989137643108,0.13080849845742815,0.1330666963518971,-0.0022581978944689607,0.6240551380355578,0.5923094086211682,0.03174572941438958,0.4218394494865107,0.4027467355566019,0.0190927139299088,0.4048465012644457,0.4290765955792072,-0.024230094314761474,0.3053991045953547,0.3304331500313943,-0.025034045436039598,0.11721057251851952,0.09877780496699637,0.01843276755152315,0.43506248272155823,0.41362612705342416,0.021436355668134066,0.08192914920491741,0.07867511316852967,0.003254036036387742,0.14498646867266937,0.13986911933922694,0.005117349333442434,0.08195230688429747,0.06899593747582336,0.012956369408474111,0.07015345627320137,0.06832940858885315,0.0018240476843482123,0.05,0.05,0.0,0.1529544814733115,0.15052033801295114,0.0024341434603603607,0.05,0.05,0.0,0.05,0.05,0.0,0.05,0.05,0.0,0.17661995307022563,0.1720425456750188,0.004577407395206817,0.7109829868724991,0.6512214522748627,0.059761534597636334
OB,5,5,0.4728094221655345,0.4763652656906924,-0.0035558435251578646,0.10211097425728619,0.10121453696371377,0.0008964372935724163,0.07522189701678364,0.07561748279200375,-0.0003955857752201142,0.2713199424201629,0.2743828332911278,-0.003062890870964896,0.25868516497879074,0.25619818693059937,0.0024869780481913684,0.11704150991380882,0.115892000192828,0.0011495097209808236,0.11056816237848255,0.11726602263394978,-0.006697860255467231,0.8547796920262234,0.7635564364486457,0.09122325557757771,0.0762907567494436,0.07950977602157205,-0.0032190192721284483,0.7309533839594493,0.7258895296890978,0.005063854270351498,0.4113298155266422,0.4170953910729989,-0.005765575546356705,0.23344518304125184,0.26350147896059284,-0.030056295919341003,0.4523882083403625,0.4646544077232432,-0.012266199382880705,0.410095376657645,0.40621848185427617,0.0038768948033688355,0.3122490147815011,0.32834914622755246,-0.01610013144605138,0.2743301790843687,0.2687802554210915,0.005549923663277168,0.07459606006926575,0.07565993760129705,-0.0010638775320312988,0.4687173097910634,0.45406471224252476,0.014652597548538648,0.05004911988928168,0.05,4.911988928167632e-05,0.16417306015738384,0.15432358492577677,0.009849475231607063,0.08077772022826823,0.07526507473052738,0.005512645497740859,0.06494259448733744,0.06574605524383416,-0.0008034607564967183,0.05,0.05,0.0,0.19125340323245538,0.20395864231495747,-0.012705239082502096,0.05,0.05,0.0,0.05,0.05,0.0,0.05,0.05,0.0,0.15037528899446634,0.1523618120036577,-0.00198652300919136,0.43420944295070385,0.4502716587123933,-0.016062215761689425
