Cluster1,Cluster2,Distance,NumSamples
12.0,23.0,0.019453443329703935,2.0
10.0,24.0,0.05215909871102637,2.0
2.0,21.0,0.06764688977413412,2.0
3.0,28.0,0.08570494354086755,3.0
19.0,27.0,0.10823431060583745,3.0
14.0,17.0,0.1150099251385027,2.0
26.0,29.0,0.133689672733744,5.0
16.0,30.0,0.14450997618758657,4.0
13.0,31.0,0.16402898982023115,3.0
7.0,9.0,0.22637830726616745,2.0
6.0,34.0,0.26832373149062066,4.0
5.0,18.0,0.2907220903391624,2.0
4.0,11.0,0.3095113546587037,2.0
0.0,15.0,0.315535148383575,2.0
8.0,32.0,0.3632280333059501,6.0
20.0,25.0,0.41282569072237074,2.0
37.0,40.0,0.4561029568994005,8.0
22.0,36.0,0.49598489577839266,5.0
35.0,38.0,0.6736429149881991,4.0
42.0,43.0,0.7313318440036548,13.0
39.0,41.0,0.8743591929545182,4.0
44.0,45.0,1.261692772663681,17.0
1.0,46.0,1.382880788907365,5.0
33.0,47.0,1.672155326255951,21.0
48.0,49.0,2.37530994358904,26.0
